Math Vocabulary,Theorems,Mathematical Concepts,Jargon

"feedback" "improvements via github.com, which greatly improved"
"kernel trick","allows us to compute these inner products implicitly in a (potentially infinite-dimensional) feature space"
"non-linearization","enabled many algorithms used in machine learning, such as kernel-PCA for dimensionality reduction"
"Linear Classification","A method for assigning items to categories based on linear predictors."
"Gaussian Process Regression","A Bayesian regression technique that uses Gaussian processes to encode prior knowledge."
"Latent Variable Models","Statistical models that explain observed variables in terms of underlying unobserved variables."
"Optimal Hard Threshold","The best threshold level used to determine which singular values should be kept or discarded."
"Bayesian Data Analysis","A statistical approach that incorporates prior beliefs, updates them with evidence, and produces posterior distributions."
"Random Number Generation","The process of creating a sequence of numbers that lacks any predictable pattern."
"Monte Carlo Methods","Statistical techniques that utilize randomness to solve mathematical problems, often through simulation."
"Probabilistic Machine Learning","A branch of machine learning focused on modeling uncertainty using probabilistic principles."
"EM Algorithm","A statistical technique used for finding maximum likelihood estimates in models with latent variables."
"Deep Auto-Encoder","A type of artificial neural network used for unsupervised learning of efficient codings."
"Non-Uniform Random Variate Generation","A technique for generating random numbers with a specified non-uniform distribution."
"Hessian Eigenmaps","A method for dimensionality reduction using concepts from Riemannian geometry."
"Locally Linear Embedding","An algorithm for finding a low-dimensional representation of high-dimensional data."
"Optimal Quadratic Programming Algorithms","Algorithms designed to solve optimization problems that can be expressed in quadratic form."
"Variational Inequalities","Mathematical equations that involve finding a function that minimizes a given functional subject to certain constraints."
"Exploratory Data Analysis","An approach to analyzing data sets to summarize their main characteristics, often using visual methods."
"Numerical Solution of Variational Problems","Techniques for approximating solutions to variational problems, typically involving calculus of variations."
"Lineare Algebra","The branch of mathematics concerning linear equations, linear functions, and their representations through matrices and vector spaces."
"Real Analysis and Probability","A field of mathematics that deals with the real numbers and the analysis of real-valued functions, probability theory."
"2N(a| 1, 2) +0.3N (a) 4,1)" "A mathematical expression involving normal distributions and mixture components."
"Parameter Learning via Maximum Likelihood" "A statistical method for estimating the parameters of a model by maximizing the likelihood of the observed data."
"iid" "Independently and identically distributed, a property of random variables that indicates they all come from the same probability distribution and are mutually independent."
"unknown distribution p(a)" "A probability distribution that is not known or specified, from which data points are drawn."
"GMM" "Gaussian Mixture Model, a probabilistic model representing the presence of subpopulations within an overall population."
"mixture components" "The individual distributions that make up a Gaussian Mixture Model."
"means" "The average values of the individual distributions in a Gaussian Mixture Model."
"covariances" "A measure of how much two random variables change together, used in the context of Gaussian distributions within a GMM."
"mixture weights" "The weights that determine the contribution of each component in a Gaussian Mixture Model to the overall distribution."
"free parameters" "The parameters within a model that can be adjusted during training or learning."
"one-dimensional dataset" "A dataset that consists of observations or values along a single dimension."
"Gaussian" "A bell-shaped curve that represents the probability distribution of a continuous random variable, characterized by its mean and variance."
"standard basis","Consider the standard basis {e = | ,e2= \\ of IR?, which defines"
"rotation matrix","the rotation matrix that performs the basis change into the rotated coordinates R(6) is given as"
"rotated coordinates","the rotation matrix that performs the basis change into the rotated coordinates R(6) is given as"
"orthonormal","making sure these images Re), Re2, Re; are orthonormal to each other"
"rotation angle","To have a meaningful rotation angle, we have to define what “counterclockwise” means when we operate in more than two dimensions"
"counterclockwise rotation","a “counterclockwise” (planar) rotation about an axis refers to a rotation about an axis when we look at the ax"
"n","258, 284"
"neutral element","36"
"noninvertible","24"
"nonsingular","24"
"norm","71"
"normal distribution","197"
"normal equation","86"
"normal vector","80"
"null space","33, 47, 58"
"numerator layout","150"
"Occam’s razor","285"
"ONB","79"
"one-hot encoding","364"
"ordered basis","50"
"orthogonal","77"
"orthogonal basis","79"
"orthogonal complement","79"
"orthogonal matrix","78"
"orthonormal","77"
"orthonormal basis","79"
"Taylor polynomial","142, 166"
"Taylor series","142"
"test error","300"
"test set","262, 284"
"Tikhonov regularization","265"
"trace","103"
"training","12"
"training error","300"
"training set","260, 292"
"transfer function","315"
"transformation matrix","51"
"translation vector","63"
"transpose","25, 38"
"triangle inequality","71, 76"
"truncated SVD","129"
"Tucker decomposition","136"
"underfitting","271"
"undirected graphical model","283"
"uniform distribution","182"
"univariate","178"
"unscented transform","170"
"upper-triangular matrix","101"
"k-one matrices","Not explicitly defined but refers to matrices involving k dimensions in linear algebra."
"BB'","Represents the product of matrix B and its transpose, resulting in a symmetric matrix."
"rank","The dimension of the vector space generated by the rows or columns of a matrix."
"average squared reconstruction error","A measure of how close the approximated data is to the original data, averaged over all data points."
"orthonormal basis vectors","A set of vectors that are both orthogonal (perpendicular) and normalized (of unit length)."
"rank-M approximation","An approximation of a matrix that maintains a specified rank, reducing dimensionality."
"identity matrix I","A square matrix in which all the elements of the principal diagonal are ones and all other elements are zeros."
"loss function","A function that measures the difference between the predicted values and the actual values."
"squared norm","The sum of the squares of the elements of a vector, representing its magnitude."
"ONB","Orthonormal Basis, a basis consisting of orthonormal vectors."
"dot product","An algebraic operation that takes two equal-length sequences of numbers and returns a single number, reflecting the magnitude of one vector in the direction of another."
"eigenvector","A vector that satisfies the equation A*x = λ*x for a given eigenvalue λ."
"eigenvalue","A scalar λ such that there exists a non-zero vector x (the eigenvector) satisfying the equation A*x = λ*x."
"eigenspace","The set of all eigenvectors corresponding to a particular eigenvalue, along with the zero vector."
"geometric multiplicity","The number of linearly independent eigenvectors associated with a given eigenvalue."
"Cavalieri’s principle","A principle in geometry stating that if two regions in the same plane have the same height and cross-sectional area at every level, then they have equal areas."
"prior distribution","the probability distribution that represents knowledge or uncertainty about a variable before observing data."
"blind-source separation","the process of separating a set of signals into their original sources without prior information about the sources."
"maximum likelihood estimation","a method for estimating the parameters of a statistical model that maximizes the likelihood function."
"PCA","Principal Component Analysis, a technique that identifies the best lower-dimensional subspace for data representation."
"latent sources","the hidden variables or signals that are not directly observed but underlie the observed data."
"Gaussian","a type of continuous probability distribution for a real-valued random variable, often referred to as the normal distribution."
"Gaussian Mixture Models","a probabilistic model that assumes all data points are generated from a mixture of a finite number of Gaussian distributions with unknown parameters."
"reinforcement learning","A type of machine learning algorithm that focuses on how agents ought to take actions in an environment in order to maximize a cumulative reward."
"Gaussian process models","A probabilistic model used in machine learning and statistics for regression and classification tasks."
"Constrained Optimization","An optimization method where the solution must satisfy certain constraints while minimizing or maximizing an objective function."
"Lagrange Multipliers","A mathematical technique for finding the local maxima and minima of a function subject to equality constraints."
"min f(a)","An expression indicating the minimization of a function f with respect to the variable a."
"subject to gi(a@) <0 forall i=1,...,m","A condition that all functions gi evaluated at a must be less than zero for all i in the set of constraints." 
"non-convex","Refers to a type of function that does not have a clear global minimum or maximum due to its shape."
"convex","Describes a function where any line segment connecting two points on the graph does not lie below the graph." 
"indicator function","A function that indicates whether a certain condition is true, often used in optimization to incorporate constraints."
"subgradient","A generalization of the gradient that can be used at nonsmooth points."
"hinge loss","A loss function used in machine learning, particularly with support vector machines, that is differentiable almost everywhere except at one point."
"gradient","A vector that contains the partial derivatives of a function and indicates the direction of the steepest ascent."
"convex quadratic programming","A type of optimization problem where the objective function is quadratic and the feasible region is convex."
"optimization variables","Variables in an optimization problem that are adjusted to find the best solution."
"primal SVM","The original form of the Support Vector Machine problem, focusing on finding the optimal separating hyperplane."
"dual SVM","A reformulation of the SVM problem that focuses on maximizing a dual objective function."
"constrained optimization","An optimization problem where the solution must satisfy certain constraints."
"inner product","A mathematical operation that takes two equal-length sequences of numbers and returns a single number, often used in defining angles and distances in vector spaces."
"lata covariance matrix",""
"ata point",""
"lata-fit term",""
"lecoder",""
"leep auto-encoder",""
"efective",""
"lenominator layout",""
"erivative",""
"lesign matrix",""
"leterminant",""
"iagonal matrix",""
"iagonalizable",""
"iagonalization",""
"difference quotient",""
"imension",""
"dimensionality reduction",""
"irected graphical model",""
"irection",""
"irection space",""
"istance",""
"istribution",""
"istributivity",""
"lomain",""
"ot product",""
"ual SVM",""
"Eckart-Young theorem",""
"eigendecomposition",""
"eigenspace",""
"eigenspectrum",""
"eigenvalue",""
"eigenvalue equation",""
"eigenvector",""
"elementary transformations",""
"EM algorithm",""
"embarrassingly parallel",""
"Eckart-Young theorem","Theorem related to matrix approximations that states the best low-rank approximation of a matrix is given by the truncation of its singular value decomposition."
"Abel-Ruffini theorem","Theorem stating that there is no general solution in radicals to polynomial equations of degree five or higher."
"np.linalg.eigh","Function in NumPy that computes the eigenvalues and right eigenvectors of a square array."
"np.linalg.svd","Function in NumPy that computes the Singular Value Decomposition of a matrix."
"power iteration","An algorithm to find the dominant eigenvalue and corresponding eigenvector of a matrix."
"PCA","Principal Component Analysis, a statistical technique used for dimensionality reduction by transforming data to a new set of variables (principal components)."
"eigenvectors","Vectors that correspond to the eigenvalues of a matrix and represent directions in the data space along which variance is maximized."
"eigenvalues","Scalars that provide information about the magnitude of the corresponding eigenvectors in a matrix."
"data covariance matrix","Matrix representing the covariances between pairs of dimensions in a dataset, central to PCA."
"Bayes factor","the ratio of the marginal likelihoods p(D|M,) and p(D|Mz); used for model selection."
"marginal likelihood","plays an important role in model selection and requires computation of Bayes factors."
"posterior distributions","distributions over models computed using Bayes factors."
"integral","a mathematical concept required to compute the marginal likelihood."
"analytically intractable","describes a problem that cannot be solved with analytical methods."
"approximation techniques","methods resorted to when direct computation is not feasible."
"numerical integration","a method of approximating the integral."
"stochastic approximations","techniques that rely on randomness for approximating solutions."
"Monte Carlo","a computational algorithm that relies on repeated random sampling to obtain numerical results."
"Bayesian Monte Carlo techniques","refers to methods that incorporate Bayesian principles into Monte Carlo methods."
"optimization tools","a variety of methods used to improve the performance of algorithms or models."
"SVM","a machine learning model that focuses on finding the hyperplane that best separates data into classes."
"maximum likelihood","a statistical method for estimating the parameters of a probabilistic model that maximizes the likelihood of the observed data."
"probabilistic view","an approach that incorporates the probabilities of different outcomes based on data distribution."
"geometric intuitions","understanding and reasoning based on geometric concepts and principles."
"PCA","Principal Component Analysis; a dimensionality reduction technique that transforms data into a new coordinate system."
"loss function","a function that quantifies the difference between predicted and actual values; used to optimize models."
"empirical risk minimization","a principle in statistical learning theory that focuses on minimizing the average loss over a training set."
"hyperplane","a subspace of one dimension less than its ambient space, used in SVM to separate different classes of data." 
"binary classification","a type of classification task that involves categorizing data into one of two classes."
"Gram-Schmidt method","Constructively transform any basis of an n-dimensional vector space V into an orthogonal/orthonormal basis."
"Orthogonal basis","A set of vectors that are all orthogonal to each other."
"Orthonormal basis","An orthogonal basis where each vector has a length of 1."
"Span","The set of all linear combinations of a given set of vectors."
"Projection","The process of mapping a vector onto a subspace spanned by other vectors."
"Subspace","A vector space that is contained within another vector space."
"Normalize","To adjust a vector so that it has a length (or norm) of 1."
"ONB","Abbreviation for orthonormal basis."
"Iteratively constructs","Refers to the process of building a basis step by step."
"Hilbert Space Embeddings","A method used to represent probability measures in a Hilbert space, allowing for the application of geometric techniques to probability theory."
"Metrics on Probability Measures","Quantitative functions that define the distance between different probability measures."
"Loss Functions","Mathematical functions that quantify the difference between predicted values and actual values in statistical models."
"Risks","The expected loss associated with a particular model or prediction."
"Support Vector Machines","A supervised learning model that analyzes data for classification and regression analysis and finds the optimal hyperplane separating different classes."
"Fundamental Theorem of Linear Algebra","A theorem that relates the properties of linear transformations to the vector spaces and their dimensions."
"Numerical Analysis","A branch of mathematics that studies algorithms for approximating solutions to mathematical problems numerically."
"curved direction","the direction in which the geometry curves significantly in the context of optimization problems."
"least curved direction","the direction in which the geometry curves the least in optimization contexts."
"poorly conditioned problems","problems characterized by long, thin valleys that are very curved in one direction but flat in the other."
"preconditioner","a matrix or operator P designed to improve the condition number of another operator in mathematical problems."
"condition number","a measure of how the output value of a function can change for a small change in the input value."
"gradient descent","an iterative optimization algorithm for finding the minimum of a function."
"convergence","the property of an algorithm to reach a solution or a final value as iterations increase."
"curvature","a measure of how quickly a curve deviates from being a straight line; in optimization, it relates to the steepness and shape of the cost function landscape."
"gradient descent steps","the incremental adjustments made in the direction of the steepest descent on the optimization surface."
"Reproducing Kernel Hilbert Spaces","A mathematical framework where every function can be represented as a linear combination of kernel functions."
"Low Rank Approximation","A technique in linear algebra where a matrix is approximated by another matrix that has a lower rank."
"Stochastic Models","Mathematical models that incorporate random variables and processes."
"Estimation","The process of determining the values of parameters based on observed data."
"Control","In the context of systems, it refers to the methods used to manage the behavior of dynamic systems."
"Generalized Linear Models","A generalization of ordinary linear regression that allows for response variables to have error distribution models other than a normal distribution."
"Turbo Decoding","A decoding technique used in error correction coding for achieving reliable communication over noisy channels."
"Belief Propagation","An algorithm used in graphical models to compute marginal distributions."
"Fisher Discriminant Analysis","A statistical method used to find a linear combination of features that best separates two or more classes."
"Approximate Bayesian Inference","Methodologies for estimating the posterior distribution of parameters when exact inference is intractable."
"covariance matrix","a matrix whose elements represent the covariances between pairs of random variables."
"eigenvectors","non-zero vectors that only change by a scalar factor when a linear transformation is applied."
"PCA","a statistical procedure that uses an orthogonal transformation to convert a set of observations of possibly correlated variables into a set of linearly uncorrelated variables."
"PPCA","a probabilistic version of PCA that includes a Gaussian noise model in its formulation."
"maximum likelihood estimate","a method of estimating the parameters of a statistical model that maximizes the likelihood function."
"expectation maximization (EM) algorithm","an iterative method used for finding maximum likelihood estimates in models with latent variables."
"dimensionality of latent variables","the number of hidden or unobserved variables that influence the observable data."
"jointly Gaussian distributed","2 = Bz of it are jointly Gaussian dis- distributed."
"marginals","We already know the marginals p(z) = NV(z|0, I) and p(x) = N (a |e, BB' + oI)."
"cross-covariance","The missing cross-covariance is given as Cov[«, z] = Cov,[Bz + pw] = BCov,[z,z] = B."
"probabilistic model","Therefore, the probabilistic model of PPCA, i.e., the joint distribution of latent and observed random variables is explicitly given by"
"posterior distribution","The joint Gaussian distribution p(x, z| B, u,o7) in (10.72) allows us to determine the posterior distribution p(z | x) immediately by applying the rules of Gaussian conditioning from Section 6.5.1."
"mean vector","with a mean vector of length D + M and a covariance matrix of size (D+M)x(D+M)."
"covariance matrix","with a mean vector of length D + M and a covariance matrix of size (D+M)x(D+M)."
"Gaussian conditioning","The joint Gaussian distribution p(x, z| B, u,o7) in (10.72) allows us to determine the posterior distribution p(z | x) immediately by applying the rules of Gaussian conditioning from Section 6.5.1."
"latent variable","The posterior distribution of the latent variable given an observation x is then p(z|x) =N(z|m, C)."
"Gaussian distribution","The posterior distribution of the latent variable given an observation x is then p(z|x) =N(z|m, C)."
"responsibility","represents the probability that x, has been generated by the kth mixture component."
"mixture components","the A mixture components are the parts that distribute probability mass among the data."
"soft assignment","refers to r,, as a method of assigning data points to mixture components based on their probabilities."
"probability mass","distributes probability among the mixture components."
"data point","refers to an individual entry in a dataset."
"responsibilities","are computed for each mixture component relative to the data point."
"sum of responsibilities","the total of all A responsibilities for a data point is 1."
"N,,","represents the sum of all entries of a column, giving an overview of responsibility across the mixture components."
"Eigenvector","The basis of the principal subspace obtained as the eigenvectors associated with the largest eigenvalues of the data covariance matrix."
"Eigenvalue","The values associated with the eigenvectors in the context of a data covariance matrix."
"Principal subspace","A subspace defined by the eigenvectors of a matrix, particularly highlighting its conceptual role in data analysis."
"Data covariance matrix","A matrix that contains the covariances between pairs of elements in a dataset."
"Eigendecomposition","A method to compute eigenvalues and eigenvectors of a matrix by decomposing it into parts."
"Singular value decomposition","A mathematical technique to factorize a matrix into its constituent parts, useful for finding eigenvalues and eigenvectors."
"Low-Rank Approximations","Approximations of a matrix that retain important features while reducing the number of dimensions."
"orthogonal","d y are orthogonal if and only if (x, y) = 0"
"unit vectors","if additionally ||a|| = 1 = |ly|l"
"orthonormal","then x and y are orthonormal"
"orthogonality","the generalization of the concept of perpendicularity to bilinear forms that do not have to be the dot product"
"inner product","geometrically, we can think of orthogonal vectors as having a right angle with respect to a specific inner product"
"angle","we are interested in determining the angle w between them using two different inner products"
"dot product","Using the dot product as the inner product yields an angle w between x and y of 90°"
"mean","a measure of central tendency, specifically the average of a set of values."
"covariance matrix","a matrix that represents the covariance between pairs of elements in a dataset."
"compressed representation","a low-dimensional representation or code that captures the essential information of a higher-dimensional dataset."
"projection matrix","a matrix that maps a vector onto a subspace."
"orthonormal","a property of vectors in which they are both orthogonal (perpendicular) and normalized (unit vectors)."
"subspace","a space that is a subset of a larger vector space, defined by certain dimensions."
"dimensionality","the number of coordinates needed to specify a point in a space, indicated as M < D."
"coordinates","numerical values that define a position within a given space with respect to a basis."
"basis vectors","a set of vectors that defines a coordinate system for a vector space." 
"loss due to compression","the difference or error between original data and its compressed form."
"epigraph","This resulting filled-in set, called the epigraph of the convex function, is a convex set."
"convex function","If a function f : R\" > R is differentiable, we can specify convexity in."
"linear program","Consider the linear program."
"unconstrained problem","The unconstrained problem (indicated by the contour lines) has a minimum on the right side."
"optimal value","The optimal value given the constraints are shown by the star."
"variables","Recall that d is the number of variables and m is the number of constraints in the primal linear program."
"constraints","Recall that d is the number of variables and m is the number of constraints in the primal linear program."
"objective function","The objective function is linear, resulting in linear contour lines."
"feasible region","The optimal value must lie in the shaded (feasible) region."
"least-squares solution","the solution of an overdetermined system, assuming the dot product as the inner product"
"overdetermined system","a system where there are more equations than unknowns"
"principal component analysis","a technique used to derive reconstruction errors"
"projections of vectors","the process of projecting a vector onto a subspace"
"subspace U","a subset of a vector space that is also a vector space"
"basis vectors","a set of vectors in a vector space that is linearly independent and spans the space"
"ONB","orthonormal basis, where basis vectors are orthogonal and of unit length"
"projection equation","an equation that gives the projection of a vector onto a subspace"
"computation time","the amount of time required to perform calculations"
"affine space","a geometric structure that generalizes the concepts of linear spaces"
"Machine Learning","A field of study that uses algorithms and statistical models to enable computers to perform tasks without explicit instructions."
"Geometry","Branch of mathematics concerned with questions of shape, size, relative position of figures, and properties of space."
"Reproducing Kernel Hilbert Spaces","A concept in functional analysis that allows the analysis of linear functionals and represents functions in a Hilbert space."
"Nonlinear Programming","A branch of mathematical optimization dealing with problems that are not linear in nature."
"Convex Optimization Theory","A theoretical framework addressing the optimization of convex functions over convex sets."
"Mathematical Statistics","The branch of mathematics dealing with the collection, analysis, interpretation, presentation, and organization of data."
"Linear Detection via Belief Propagation","A method in statistical inference that uses a message-passing algorithm to estimate the state of a probabilistic graphical model."
"Probability","A branch of mathematics concerned with the analysis of random phenomena."
"Neural Networks","Computational models inspired by human brain networks that are designed to recognize patterns."
"Bayesian PCA","A statistical approach to principal component analysis that incorporates Bayesian methods."
"Probabilistic Reasoning","A reasoning approach based on the principles of probability."
"Markov Random Fields","A collection of random variables having a Markov property described by a graph."
"Energy Minimization Methods","Techniques used to find the minimum energy configuration that corresponds to a certain problem."
"Smoothness-Based Priors","Prior assumptions in statistical modeling that promote smooth behaviors in the estimated functions."
"Change of Variable Theorem","A fundamental theorem in calculus for integrating functions with transformed variables."
"Fundamental Theorem of Calculus","Connects differentiation and integration, providing a way to evaluate definite integrals."
"Lebesgue Integral","A method of integration that generalizes the notion of area under a curve."
"Global Geometric Framework","A unified approach to understanding and visualizing geometric data structures."
"Nonlinear Dimensionality Reduction","Techniques for reducing the number of random variables while preserving relationships in data."
"Regression Selection and Shrinkage","Statistical methods for selecting variables and reducing their impact in a regression model."
"Lasso","A regression analysis method that performs both variable selection and regularization to enhance prediction accuracy."
"Probabilistic Principal Component Analysis","A statistical technique that combines principal component analysis and probabilistic modeling."
"angle" ,"the angle between x and b."
"unit circle" ,"if ||a|| = 1, then x lies on the unit circle."
"projection" ,"a projection is a linear mapping."
"projection matrix" ,"there exists a projection matrix P such that ty (a) = P,a."
"dot product" ,"with the dot product as inner product."
"inner product" ,"with the dot product as inner product."
"symmetric matrix" ,"bb' (and, consequently, P) is a symmetric matrix (of rank 1)."
"rank" ,"bb' (and, consequently, P) is a symmetric matrix (of rank 1)."
"scalar" ,"||b||² = (b, b) is a scalar."
"subspace" ,"the line through the origin with direction b (equivalently, the subspace U spanned by b)."
"kernel function","k(-,-) can be defined on any object, e.g., sets, sequences, strings, graphs, and distributions."
"SVM","Support Vector Machine; a supervised learning algorithm used for classification and regression."
"optimal solution","the best possible outcome determined by the algorithms applied to the SVM."
"loss function","a method used to evaluate how well a specific algorithm models the given data."
"unconstrained optimization problem","an optimization problem with no constraints on the variables."
"constrained versions","approaches that involve restrictions on the values that the variables can take."
"primal SVM","the original formulation of the Support Vector Machine optimization problem."
"dual SVM","a reformulation of the Support Vector Machine optimization problem that can sometimes be easier to solve."
"quadratic programs","mathematical optimization problems that can be expressed in a standard form involving quadratic functions."
"convex","a property of a function where any line segment joining two points on the graph of the function does not lie below the graph."
"hinge loss","a specific loss function predominantly used for "maximum-margin" classification, particularly in SVMs."
"model choice","a selection process regarding the type of model to use for regression analysis."
"Gaussian noise","a type of statistical noise characterized by a bell-shaped curve in the distribution."
"Linear Regression","a statistical method used to model the relationship between a dependent variable and one or more independent variables."
"time-series analysis","a method used to analyze time-ordered data points to identify trends or patterns."
"system identification","the process of developing or improving a mathematical representation of a physical system using measured data."
"reinforcement learning","a machine learning paradigm where an agent learns to make decisions by taking actions in an environment to maximize cumulative reward."
"forward/inverse model learning","processes involved in predicting future states (forward) or deducing inputs that lead to a particular outcome (inverse)."
"optimization","the process of making something as effective or functional as possible."
"line searches","a method used in optimization to find a minimum or maximum of a function along a given direction."
"global optimization","a process that finds the best solution among all possible solutions for a given problem."
"deep learning","a subset of machine learning that uses neural networks with many layers to analyze various forms of data."
"classification algorithms","methods used to assign categories to data points based on their characteristics."
"regression function","a function used in regression analysis to model the relationship between variables."
"parametrization","the act of defining parameters for a function or model to constrain it in a specific way."
"polynomials","mathematical expressions involving variables raised to various powers combined using addition, subtraction, and multiplication."
"degree of the polynomial","the highest power of the variable in a polynomial expression."
"model selection","the procedure of comparing different models to determine which one best explains the data."
"Convex Analysis","A branch of mathematics that studies the properties of convex sets and convex functions."
"EM Algorithms","Algorithms used for finding maximum likelihood estimates in statistical models, especially when the model depends on unobserved variables."
"PCA","Principal Component Analysis, a technique used for dimensionality reduction by transforming to a new set of variables that are orthogonal."
"SPCA","Sparse Principal Component Analysis, an extension of PCA that seeks to find sparse representations."
"Linear Gaussian Models","Statistical models that assume a linear relationship between variables and that the noise is normally distributed."
"Linear Algebra","A branch of mathematics concerning linear equations, linear functions, and their representations through matrices and vector spaces."
"Matrix Analysis","The study of matrices and their algebraic properties, as well as their applications in various fields."
"Monte Carlo Method","A computational technique that uses random sampling to obtain numerical results for mathematical problems."
"Spline Models","Models used in statistical data analysis for smoothing data points by constructing a piecewise polynomial function."  
"Probability","A measure of the likelihood that an event will occur, expressed as a number between 0 and 1."  
"Nonparametric Statistics","A branch of statistics that does not assume a specific distribution for the population from which the samples are drawn."  
"Expectation","The expected value of a random variable, representing the average outcome if an experiment were repeated many times."  
"Tidy Data","A data structure format that organizes datasets to facilitate analysis, where each variable is in a column, each observation is in a row, and each type of observational unit forms a table."  
"Decision Trees","A flowchart-like structure used for decision-making and predictive modeling that maps observations about an item to conclusions about its target value."  
"Naive Bayesian Classifiers","A probabilistic classifier based on applying Bayes' theorem with strong (naive) independence assumptions between the features."  
"Representer Theorem","A result in statistical learning theory that provides conditions under which a solution to a regularized empirical risk minimization problem can be expressed as a linear combination of the training data."  
"Infinite Networks","Structures in computing that involve components with connections that may lead to indefinitely large or complex interactions."
"convex conjugates","calculates their convex conjugates (Rifkin and Lippert, 2007)."
"functional analysis","view (also the regularization methods view) of SVMs are referred to the work by Wahba (1990)."
"kernels","Theoretical exposition of kernels (Aronszajn, 1950; Schwartz, 1964; Saitoh, 1988; Manton and Amblard, 2015) requires a basic grounding in linear operators."
"linear operators","requires a basic grounding in linear operators (Akhiezer and Glazman, 1993)."
"Banach spaces","The idea of kernels have been generalized to Banach spaces (Zhang et al., 2009)."
"Krein spaces","The idea of kernels have been generalized to Krein spaces (Ong et al., 2004; Loosli et al., 2016)."
"hinge loss","the hinge loss has three equivalent representations, as shown in (12.28) and (12.29)."
"constrained optimization problem","as well as the constrained optimization problem in (12.33)."
"SVM loss function","comparing the SVM loss function with other loss functions (Steinwart, 2007)."
"subgradients","convenient for computing subgradients, as each piece is linear."
"International Symposium on Information Theory","A conference focused on the principles and applications of information theory."
"Conjugate Gradient Method","An algorithm for solving systems of linear equations, particularly useful for large systems."
"Normalized Cuts","A graph partitioning method used for image segmentation."
"Image Segmentation","The process of partitioning a digital image into multiple segments to simplify representation."
"Hash Kernels","A method used in machine learning to measure the similarity between data structures in a high-dimensional space."
"Structured Data","Data that is organized in a defined manner, often in tables or databases."
"Probability","A branch of mathematics dealing with the likelihood of an event's occurrence."
"Minimization Methods","Techniques used to find the minimum value of a function, especially for non-differentiable functions."
"Texton","A basic element or unit in the appearance of a texture, used in image processing."
"Object Recognition","The ability of a system to identify objects in images or video."
"Bayes Factor","A statistic used in Bayesian analysis to compare the predictive power of two hypotheses."
"Line and Planes of Closest Fit","Mathematical concepts used to determine the best-fitting line or plane for a given set of data points in space."
"Causal Inference","A field of study that involves determining the cause-effect relationships from data, often using models and algorithms."
"Matrix Cookbook","A comprehensive resource that provides techniques and formulas related to matrices and their applications."
"Probabilistic Outputs","Outputs generated by models like Support Vector Machines, which estimate probabilities of class memberships instead of binary outcomes."
"Measure Theoretic Probability","A mathematical framework for probability that utilizes measures and integrates with measure theory principles."
"Legendre Transformation","A mathematical operation used in optimization that transforms one set of variables into another, often used to change the perspective of a problem."
"Numerical Recipes","A collection of algorithms and techniques for numerical computing and problem-solving in scientific computing."
"standard basis","The standard basis refers to a set of vectors that are used as the foundation for a vector space, typically represented as e1 and e2."
"determinant","The determinant is a function that measures the signed volume formed by column vectors composed in a matrix."
"volume","Volume is the measure of space occupied by a three-dimensional object, calculated as the absolute value of the determinant of a matrix formed by vectors spanning the object."
"parallelepiped","A parallelepiped is a solid with faces that are parallel parallelograms."
"linearly independent vectors","Linearly independent vectors are vectors that do not lie in the same plane and cannot be expressed as a linear combination of each other."
"matrix","A matrix is a rectangular array of numbers or functions arranged in rows and columns."
"upper-triangular matrix","An upper-triangular matrix is a type of matrix where all the entries below the main diagonal are zero."
"lower-triangular matrix","A lower-triangular matrix is a type of matrix where all the entries above the main diagonal are zero."
"signed volume","Signed volume is the value that represents the volume of a geometric object, with a sign that indicates its orientation."
"kernel trick","A technique used in machine learning to transform data into a higher-dimensional space to make it easier to perform linear separation."
"kernel PCA","A variant of Principal Component Analysis that uses kernel methods to find principal components in a higher-dimensional feature space."
"deep auto-encoder","A type of artificial neural network used for unsupervised learning that aims to learn efficient representations of data."
"Gaussian process","A collection of random variables, any finite number of which have a joint Gaussian distribution, used in Bayesian statistics."
"latent-variable","An unobserved variable that influences observed variables in a statistical model."
"model","A mathematical representation of a system or process."
"GP-LVM","Gaussian Process Latent Variable Model; a generative model that combines Gaussian processes with latent variables."
"Bayesian GP-LVM","A Bayesian approach to Gaussian Process Latent Variable Models, incorporating uncertainty in the estimates."
"Gaussian Mixture Model","A probabilistic model that assumes that all data points are generated from a mixture of several Gaussian distributions."
"mixture models","A statistical model that represents the presence of subpopulations within an overall population as a combination of multiple distributions."
"convex combination","A linear combination of items where the coefficients are non-negative and sum up to one."
"mixture weights","Coefficients in a mixture model that determine the contribution of each base distribution to the overall model."
"boundary","The limit or dividing line of a set."
"convex hull","The smallest convex set that contains all the points in a given set."
"positive examples","Data points that belong to the class of interest."
"negative examples","Data points that do not belong to the class of interest."
"distance","The length of the difference vector between two points."
"convex set","A set in which, for any two points within the set, the line segment connecting them also lies entirely within the set."
"convex combination","A linear combination of points where the coefficients are non-negative and sum to one."
"weights","Non-negative values assigned to points in a convex combination."
"generative process",""
"generator",""
"geometric multiplicity",""
"Givens rotation",""
"global minimum",""
"GP-LVM",""
"gradient",""
"Gram matrix",""
"Gram-Schmidt orthogonalization",""
"graphical model",""
"group","a mathematical structure consisting of a set equipped with an operation that combines any two elements to form a third element."
"Hadamard product",""
"hard margin SVM",""
"Hessian",""
"Hessian eigenmaps",""
"Hessian matrix",""
"hinge loss",""
"histogram",""
"hyperparameter",""
